date,cases,cases,cases
8/19,8,0,0
8/20,11,0,2
8/21,1,0,0
8/22,8,0,7
8/23,4,0,6
8/24,7,0,1
8/25,2,0,1
8/26,4,0,0
8/27,5,1,0
8/28,4,1,1
8/29,2,1,0
8/30,4,0,4
8/31,4,0,1
9/1,5,2,5
9/2,8,1,1
9/3,14,1,1
9/4,13,0,10
9/5,13,5,9
9/6,6,0,6
9/7,4,0,1
9/8,8,0,9
9/9,17,2,10
9/10,18,3,11
9/11,10,1,3
9/12,8,1,1
9/13,3,0,1
9/14,10,0,5
9/15,3,0,3
9/16,13,0,2
9/17,15,0,2
9/18,2,1,2
9/19,1,0,2
9/20,4,0,2
9/21,9,0,2
9/22,2,0,2
9/23,6,0,0
9/24,11,0,2
9/25,10,1,2
9/26,7,1,3
9/27,4,0,0
9/28,3,1,1
9/29,4,0,0
9/30,7,1,4
10/1,10,1,1
10/2,3,0,1
10/3,7,2,4
10/4,5,1,1
10/5,6,2,7
10/6,6,2,5
10/7,10,1,4
10/8,2,0,3
10/9,12,3,5
10/10,16,0,0
10/11,4,0,1
10/12,21,3,3
10/13,9,1,8
10/14,10,0,4
10/15,8,3,1
10/16,33,3,5
10/17,9,0,2
10/18,9,0,2
10/19,28,1,6
10/20,12,2,2
10/21,15,2,5
10/22,8,0,1
10/23,9,0,2
10/24,25,3,4
10/25,13,0,0
10/26,18,0,3
10/27,26,3,8
10/28,24,3,15
10/29,36,4,9
10/30,26,2,8
10/31,16,3,4
11/1,36,3,14
11/2,25,5,10
11/3,36,1,18
11/4,30,3,7
11/5,32,1,9
11/6,34,3,4
11/7,46,4,18
11/8,,,
11/9,,,
11/10,,,
11/11,,,
11/12,,,
11/13,,,
11/14,,,
